"Measure","Sex","Year","Quintile","Rate","Lower CI","Upper CI","Deaths"
"Treatable mortality","Female","2019","2","100.5","88.9","112.1","290.5"
"Treatable mortality","Female","2019","3","84.4","74.2","94.5","268"
"Treatable mortality","Female","2019","4","72.900000000000006","63.7","82.1","247"
"Treatable mortality","Female","2019","5","57.3","49","65.5","190"
"Treatable mortality","Female","2020","1","134.9","120.5","149.19999999999999","342"
"Treatable mortality","Female","2020","2","101","89.4","112.6","294"
"Treatable mortality","Female","2020","3","87.3","77.099999999999994","97.5","286.5"
"Treatable mortality","Female","2020","4","74.900000000000006","65.599999999999994","84.3","255"
"Treatable mortality","Female","2020","5","67.3","58.5","76.099999999999994","230"
"Preventable mortality","Male","2001","1","437.7","409.3","466","924.5"
"Preventable mortality","Male","2001","2","357.6","332.3","382.9","776.5"
"Preventable mortality","Male","2001","3","294.3","272.39999999999998","316.3","694.5"
"Preventable mortality","Male","2001","4","247.3","227.6","267.10000000000002","605.5"
"Preventable mortality","Male","2001","5","197.4","179.4","215.4","467.5"
"Preventable mortality","Male","2002","1","467.4","438.1","496.7","990"
"Preventable mortality","Male","2002","2","351.3","326.39999999999998","376.2","774"
"Preventable mortality","Male","2002","3","278.3","257","299.60000000000002","661"
"Preventable mortality","Male","2002","4","219.1","200.6","237.6","545"
"Preventable mortality","Male","2002","5","197.5","179.6","215.4","472.5"
"Preventable mortality","Male","2003","1","463.1","433.9","492.4","979.5"
"Preventable mortality","Male","2003","2","339.9","315.7","364.1","765.5"
"Preventable mortality","Male","2003","3","268.39999999999998","247.8","289","657.5"
"Preventable mortality","Male","2003","4","227.1","208.4","245.8","572.5"
"Preventable mortality","Male","2003","5","184.1","166.9","201.2","447.5"
"Preventable mortality","Male","2004","1","392.2","365.5","418.9","839.5"
"Preventable mortality","Male","2004","2","315.8","292.60000000000002","339","721"
"Preventable mortality","Male","2004","3","251.8","232","271.60000000000002","627"
"Preventable mortality","Male","2004","4","218.3","200.1","236.4","561.5"
"Preventable mortality","Male","2004","5","185.7","168.7","202.8","461"
"Preventable mortality","Male","2005","1","397.9","371.1","424.7","857.5"
"Preventable mortality","Male","2005","2","335","310.7","359.4","740"
"Preventable mortality","Male","2005","3","259.5","239.9","279","682"
"Preventable mortality","Male","2005","4","200","182.9","217.2","529.5"
"Preventable mortality","Male","2005","5","163.30000000000001","147.30000000000001","179.3","404.5"
"Preventable mortality","Male","2006","1","393.5","366.9","420.2","853"
"Preventable mortality","Male","2006","2","328.5","304.60000000000002","352.3","743"
"Preventable mortality","Male","2006","3","247.4","228.4","266.5","656"
"Preventable mortality","Male","2006","4","193.9","177.1","210.6","520.5"
"Preventable mortality","Male","2006","5","155.80000000000001","140.19999999999999","171.4","389"
"Preventable mortality","Male","2007","1","420.1","392.7","447.4","921.5"
"Preventable mortality","Male","2007","2","316.7","293.5","340","726"
"Preventable mortality","Male","2007","3","247.1","228.3","265.89999999999998","667"
"Preventable mortality","Male","2007","4","185.6","169.4","201.9","509"
"Preventable mortality","Male","2007","5","158.69999999999999","143.19999999999999","174.2","407"
"Preventable mortality","Male","2008","1","385.1","358.9","411.4","844.5"
"Preventable mortality","Male","2008","2","322.60000000000002","299.5","345.8","756.5"
"Preventable mortality","Male","2008","3","231.9","213.7","250.1","628.5"
"Preventable mortality","Male","2008","4","191.5","175.2","207.8","534.5"
"Preventable mortality","Male","2008","5","161.1","145.69999999999999","176.6","422"
"Preventable mortality","Male","2009","1","408.9","382","435.8","908"
"Preventable mortality","Male","2009","2","308.60000000000002","286.2","331","739.5"
"Preventable mortality","Male","2009","3","228.4","210.6","246.3","634.5"
"Preventable mortality","Male","2009","4","172.7","157.4","188","495"
"Preventable mortality","Male","2009","5","157.6","142.4","172.8","417.5"
"Preventable mortality","Male","2010","1","388.3","362.2","414.3","871.5"
"Preventable mortality","Male","2010","2","280","258.8","301.2","680.5"
"Preventable mortality","Male","2010","3","216","198.6","233.3","601"
"Preventable mortality","Male","2010","4","170.2","155","185.3","491"
"Preventable mortality","Male","2010","5","140.30000000000001","126.1","154.6","378.5"
"Preventable mortality","Male","2011","1","369.5","344","395","824"
"Preventable mortality","Male","2011","2","288","267","308.89999999999998","730"
"Preventable mortality","Male","2011","3","234.5","216.5","252.6","655"
"Preventable mortality","Male","2011","4","170.9","155.69999999999999","186.2","486"
"Preventable mortality","Male","2011","5","133.5","119.8","147.1","372"
"Preventable mortality","Male","2012","1","349.4","324.7","374.1","784"
"Preventable mortality","Male","2012","2","266.2","246.2","286.3","686"
"Preventable mortality","Male","2012","3","204.5","187.7","221.3","578"
"Preventable mortality","Male","2012","4","176.6","161.1","192","508"
"Preventable mortality","Male","2012","5","140.19999999999999","126.3","154.1","395.5"
"Preventable mortality","Male","2013","1","356.1","331.2","380.9","802"
"Preventable mortality","Male","2013","2","275.2","255","295.39999999999998","719"
"Preventable mortality","Male","2013","3","211.5","194.6","228.4","608.5"
"Preventable mortality","Male","2013","4","169.3","154.30000000000001","184.3","496.5"
"Preventable mortality","Male","2013","5","157.30000000000001","142.69999999999999","171.9","451"
"Preventable mortality","Male","2014","1","358.5","333.6","383.5","809"
"Preventable mortality","Male","2014","2","257","237.5","276.39999999999998","677"
"Preventable mortality","Male","2014","3","198.6","182.4","214.8","581.5"
"Preventable mortality","Male","2014","4","163.30000000000001","148.69999999999999","177.8","489.5"
"Preventable mortality","Male","2014","5","125.9","112.9","138.80000000000001","368"
"Preventable mortality","Male","2015","1","357.5","332.8","382.2","819"
"Preventable mortality","Male","2015","2","259","239.5","278.39999999999998","685"
"Preventable mortality","Male","2015","3","223.7","206.4","241","650.5"
"Preventable mortality","Male","2015","4","167.3","152.69999999999999","181.8","515"
"Preventable mortality","Male","2015","5","132.30000000000001","119.1","145.6","389.5"
"Preventable mortality","Male","2016","1","372.4","347.5","397.4","871"
"Preventable mortality","Male","2016","2","283.5","263.2","303.8","754"
"Preventable mortality","Male","2016","3","209.9","193.2","226.6","616"
"Preventable mortality","Male","2016","4","186.4","171.1","201.8","578.5"
"Preventable mortality","Male","2016","5","137.6","124.2","151","410.5"
"Preventable mortality","Male","2017","1","380.8","355.7","405.9","894"
"Preventable mortality","Male","2017","2","255.5","236.4","274.60000000000002","689.5"
"Preventable mortality","Male","2017","3","214.9","198.2","231.5","646.5"
"Preventable mortality","Male","2017","4","176.1","161.4","190.8","557.5"
"Preventable mortality","Male","2017","5","121.6","109.2","134.1","373.5"
"Preventable mortality","Male","2018","1","375.7","351","400.3","900"
"Preventable mortality","Male","2018","2","257.60000000000002","238.4","276.7","701"
"Preventable mortality","Male","2018","3","196.7","180.8","212.6","595"
"Preventable mortality","Male","2018","4","176.3","161.5","191","560"
"Preventable mortality","Male","2018","5","127","114.3","139.69999999999999","391.5"
"Preventable mortality","Male","2019","1","358.9","334.9","382.9","867"
"Preventable mortality","Male","2019","2","262.8","243.5","282","719.5"
"Preventable mortality","Male","2019","3","195.9","180.1","211.6","604"
"Preventable mortality","Male","2019","4","165.5","151.30000000000001","179.6","533.5"
"Preventable mortality","Male","2019","5","127.7","115","140.30000000000001","397.5"
"Preventable mortality","Male","2020","1","417.5","391.6","443.3","1009.5"
"Preventable mortality","Male","2020","2","310.8","290","331.6","859.5"
"Preventable mortality","Male","2020","3","222","205.2","238.9","680.5"
"Preventable mortality","Male","2020","4","185.1","170.3","200","608.5"
"Preventable mortality","Male","2020","5","141.9","128.6","155.19999999999999","444"
"Preventable mortality","Male","2020 (excluding COVID-19)","1","326.10000000000002","303.39999999999998","348.9","793.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","2","246.8","228.2","265.39999999999998","681.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","3","189.9","174.2","205.5","577.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","4","155","141.30000000000001","168.7","502.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","5","109.2","97.5","120.9","339"
"Preventable mortality","Female","2001","1","224","204.7","243.3","519.5"
"Preventable mortality","Female","2001","2","177.7","160.80000000000001","194.7","423.5"
"Preventable mortality","Female","2001","3","139.80000000000001","125.3","154.30000000000001","356"
"Preventable mortality","Female","2001","4","127.9","114.2","141.6","335.5"
"Preventable mortality","Female","2001","5","89.4","77.8","101.1","227.5"
"Preventable mortality","Female","2002","1","233.1","213.3","252.9","534"
"Preventable mortality","Female","2002","2","163.9","147.6","180.2","390.5"
"Preventable mortality","Female","2002","3","132.69999999999999","118.6","146.80000000000001","340"
"Preventable mortality","Female","2002","4","110.1","97.5","122.7","292.5"
"Preventable mortality","Female","2002","5","89.5","77.900000000000006","101","231.5"
"Preventable mortality","Female","2003","1","231.1","211.4","250.7","534"
"Preventable mortality","Female","2003","2","151.19999999999999","135.6","166.7","363"
"Preventable mortality","Female","2003","3","137.9","123.6","152.19999999999999","358"
"Preventable mortality","Female","2003","4","106.6","94.3","119","288"
"Preventable mortality","Female","2003","5","89","77.5","100.4","234.5"
"Preventable mortality","Female","2004","1","215.7","196.7","234.8","495"
"Preventable mortality","Female","2004","2","157.69999999999999","141.9","173.6","381.5"
"Preventable mortality","Female","2004","3","109.9","97.2","122.6","288.5"
"Preventable mortality","Female","2004","4","110.6","98.1","123.1","300.5"
"Preventable mortality","Female","2004","5","83.1","72.099999999999994","94","221.5"
"Preventable mortality","Female","2005","1","213.5","194.7","232.3","496.5"
"Preventable mortality","Female","2005","2","161.5","145.1","177.8","376"
"Preventable mortality","Female","2005","3","119.5","106.6","132.5","329.5"
"Preventable mortality","Female","2005","4","98.6","86.8","110.3","273"
"Preventable mortality","Female","2005","5","78.599999999999994","67.900000000000006","89.4","208"
"Preventable mortality","Female","2006","1","206.6","188.1","225.2","478.5"
"Preventable mortality","Female","2006","2","155.6","139.6","171.5","367.5"
"Preventable mortality","Female","2006","3","116.2","103.5","128.9","324"
"Preventable mortality","Female","2006","4","87.7","76.599999999999994","98.7","244"
"Preventable mortality","Female","2006","5","77","66.5","87.5","208"
"Preventable mortality","Female","2007","1","207.5","188.9","226.1","483"
"Preventable mortality","Female","2007","2","172.9","156.1","189.6","411"
"Preventable mortality","Female","2007","3","119.8","107","132.6","337"
"Preventable mortality","Female","2007","4","88.6","77.599999999999994","99.5","252"
"Preventable mortality","Female","2007","5","82.6","71.8","93.4","226.5"
"Preventable mortality","Female","2008","1","223.6","204.2","243.1","514"
"Preventable mortality","Female","2008","2","161.9","146","177.8","402"
"Preventable mortality","Female","2008","3","123.1","110.1","136.1","346"
"Preventable mortality","Female","2008","4","106.3","94.4","118.1","310"
"Preventable mortality","Female","2008","5","70.3","60.5","80.099999999999994","199"
"Preventable mortality","Female","2009","1","189","171.2","206.7","440"
"Preventable mortality","Female","2009","2","150","134.69999999999999","165.3","371.5"
"Preventable mortality","Female","2009","3","111.2","99","123.4","319.5"
"Preventable mortality","Female","2009","4","91.1","80.2","101.9","271"
"Preventable mortality","Female","2009","5","71.5","61.7","81.400000000000006","204"
"Preventable mortality","Female","2010","1","200.9","182.6","219.2","468.5"
"Preventable mortality","Female","2010","2","147.5","132.4","162.5","372"
"Preventable mortality","Female","2010","3","113","100.8","125.3","328"
"Preventable mortality","Female","2010","4","85.9","75.3","96.4","257"
"Preventable mortality","Female","2010","5","72.3","62.5","82.1","210.5"
"Preventable mortality","Female","2011","1","205.7","187.1","224.2","475"
"Preventable mortality","Female","2011","2","141.19999999999999","126.8","155.5","372"
"Preventable mortality","Female","2011","3","112.5","100.2","124.8","324.5"
"Preventable mortality","Female","2011","4","84.2","73.7","94.7","250.5"
"Preventable mortality","Female","2011","5","69.3","59.7","78.8","204"
"Preventable mortality","Female","2012","1","186.3","168.7","203.9","434.5"
"Preventable mortality","Female","2012","2","152.1","137.30000000000001","166.9","409"
"Preventable mortality","Female","2012","3","109.2","97.3","121.2","323"
"Preventable mortality","Female","2012","4","91.5","80.7","102.3","280"
"Preventable mortality","Female","2012","5","64.599999999999994","55.4","73.8","193.5"
"Preventable mortality","Female","2013","1","181.4","164.1","198.7","427.5"
"Preventable mortality","Female","2013","2","139.19999999999999","125.2","153.30000000000001","379.5"
"Preventable mortality","Female","2013","3","110.2","98.3","122.1","331.5"
"Preventable mortality","Female","2013","4","93","82.2","103.8","287.5"
"Preventable mortality","Female","2013","5","62","53.2","70.900000000000006","191.5"
"Preventable mortality","Female","2014","1","186.5","169","204","439"
"Preventable mortality","Female","2014","2","134.69999999999999","121","148.5","371"
"Preventable mortality","Female","2014","3","113","101","125","343.5"
"Preventable mortality","Female","2014","4","87.4","76.900000000000006","97.8","272"
"Preventable mortality","Female","2014","5","66.2","57.1","75.3","205.5"
"Preventable mortality","Female","2015","1","208.3","189.9","226.7","497.5"
"Preventable mortality","Female","2015","2","142.69999999999999","128.6","156.80000000000001","394"
"Preventable mortality","Female","2015","3","111.2","99.3","123","341.5"
"Preventable mortality","Female","2015","4","90.9","80.400000000000006","101.3","293"
"Preventable mortality","Female","2015","5","73.2","63.7","82.7","231.5"
"Preventable mortality","Female","2016","1","214","195.5","232.6","517"
"Preventable mortality","Female","2016","2","138.5","124.7","152.30000000000001","388.5"
"Preventable mortality","Female","2016","3","119.6","107.3","131.80000000000001","370"
"Preventable mortality","Female","2016","4","83.2","73.3","93.1","274.5"
"Preventable mortality","Female","2016","5","65.2","56.4","74.099999999999994","212"
"Preventable mortality","Female","2017","1","206.8","188.7","224.8","507"
"Preventable mortality","Female","2017","2","139.5","125.7","153.19999999999999","396.5"
"Preventable mortality","Female","2017","3","109.5","97.9","121.1","346.5"
"Preventable mortality","Female","2017","4","89","78.8","99.2","299.5"
"Preventable mortality","Female","2017","5","60.6","52.2","69.099999999999994","199.5"
"Preventable mortality","Female","2018","1","206.1","188.1","224","509.5"
"Preventable mortality","Female","2018","2","159.6","145","174.2","461"
"Preventable mortality","Female","2018","3","110.3","98.7","121.9","352.5"
"Preventable mortality","Female","2018","4","84","74.2","93.9","286"
"Preventable mortality","Female","2018","5","65.5","56.7","74.3","218.5"
"Preventable mortality","Female","2019","1","201.3","183.7","219","501.5"
"Preventable mortality","Female","2019","2","133.5","120.2","146.9","387.5"
"Preventable mortality","Female","2019","3","109.4","97.8","121","349"
"Preventable mortality","Female","2019","4","77.599999999999994","68.2","87","266"
"Preventable mortality","Female","2019","5","66.400000000000006","57.8","75.099999999999994","230"
"Preventable mortality","Female","2020","1","246.2","226.8","265.60000000000002","623"
"Preventable mortality","Female","2020","2","162","147.4","176.6","475"
"Preventable mortality","Female","2020","3","121.2","109.2","133.30000000000001","393.5"
"Preventable mortality","Female","2020","4","100.9","90.3","111.6","350"
"Preventable mortality","Female","2020","5","78.8","69.2","88.4","266"
"Preventable mortality","Female","2020 (excluding COVID-19)","1","192.5","175.4","209.7","489"
"Preventable mortality","Female","2020 (excluding COVID-19)","2","131.9","118.7","145.1","386"
"Preventable mortality","Female","2020 (excluding COVID-19)","3","102.1","91","113.2","329.5"
"Preventable mortality","Female","2020 (excluding COVID-19)","4","83.1","73.400000000000006","92.9","286"
"Preventable mortality","Female","2020 (excluding COVID-19)","5","63.9","55.3","72.5","216"
