"Measure","Sex","Year","Quintile","Deaths","Rate","Lower CI","Upper CI"
"Treatable mortality","Female","2017","3","3681.5","71.8","69.5","74.099999999999994"
"Treatable mortality","Female","2017","4","3391","62.6","60.5","64.7"
"Treatable mortality","Female","2017","5","3022","55.1","53.1","57.1"
"Treatable mortality","Female","2018","1","4725","116.9","113.5","120.3"
"Treatable mortality","Female","2018","2","4122","89.6","86.9","92.4"
"Treatable mortality","Female","2018","3","3742","71.900000000000006","69.599999999999994","74.2"
"Treatable mortality","Female","2018","4","3455","63.1","61","65.2"
"Treatable mortality","Female","2018","5","3051","54.9","53","56.9"
"Treatable mortality","Female","2019","1","4582","111.5","108.3","114.8"
"Treatable mortality","Female","2019","2","4015","86.1","83.4","88.8"
"Treatable mortality","Female","2019","3","3712","70.599999999999994","68.3","72.900000000000006"
"Treatable mortality","Female","2019","4","3302.5","59.8","57.7","61.8"
"Treatable mortality","Female","2019","5","2979","53.4","51.4","55.3"
"Treatable mortality","Female","2020","1","4764.5","114.4","111.1","117.6"
"Treatable mortality","Female","2020","2","3882.5","82.3","79.7","84.9"
"Treatable mortality","Female","2020","3","3546.5","67.099999999999994","64.8","69.3"
"Treatable mortality","Female","2020","4","3366","60.6","58.5","62.6"
"Treatable mortality","Female","2020","5","2994","53.3","51.4","55.2"
"Preventable mortality","Male","2001","1","15400.5","465.4","458","472.9"
"Preventable mortality","Male","2001","2","11099","324","317.89999999999998","330.1"
"Preventable mortality","Male","2001","3","9450.5","251.8","246.7","257"
"Preventable mortality","Male","2001","4","8318.5","210.9","206.4","215.5"
"Preventable mortality","Male","2001","5","6918","175.9","171.7","180"
"Preventable mortality","Male","2002","1","14882.5","453.1","445.7","460.5"
"Preventable mortality","Male","2002","2","10835.5","313.3","307.3","319.3"
"Preventable mortality","Male","2002","3","9379.5","246.5","241.5","251.6"
"Preventable mortality","Male","2002","4","8242","205.5","201","209.9"
"Preventable mortality","Male","2002","5","6870.5","172.2","168.1","176.3"
"Preventable mortality","Male","2003","1","14722.5","447.5","440.2","454.9"
"Preventable mortality","Male","2003","2","10547.5","302.5","296.60000000000002","308.3"
"Preventable mortality","Male","2003","3","9273","240.9","235.9","245.8"
"Preventable mortality","Male","2003","4","8173","200.5","196.1","204.9"
"Preventable mortality","Male","2003","5","6749","166.4","162.30000000000001","170.4"
"Preventable mortality","Male","2004","1","13975","425.9","418.7","433.1"
"Preventable mortality","Male","2004","2","10255.5","291.60000000000002","285.89999999999998","297.39999999999998"
"Preventable mortality","Male","2004","3","8943.5","228.5","223.7","233.3"
"Preventable mortality","Male","2004","4","7783","188.9","184.7","193.1"
"Preventable mortality","Male","2004","5","6423.5","155.69999999999999","151.9","159.6"
"Preventable mortality","Male","2005","1","13619.5","415.1","408","422.2"
"Preventable mortality","Male","2005","2","10374.5","293","287.3","298.7"
"Preventable mortality","Male","2005","3","8925.5","224.2","219.5","228.9"
"Preventable mortality","Male","2005","4","7796","185.8","181.6","189.9"
"Preventable mortality","Male","2005","5","6235.5","148.6","144.9","152.30000000000001"
"Preventable mortality","Male","2006","1","13372","404.4","397.4","411.5"
"Preventable mortality","Male","2006","2","10241","286.10000000000002","280.5","291.8"
"Preventable mortality","Male","2006","3","8583","213.8","209.2","218.4"
"Preventable mortality","Male","2006","4","7477","176.3","172.3","180.3"
"Preventable mortality","Male","2006","5","6097","143.6","139.9","147.19999999999999"
"Preventable mortality","Male","2007","1","13402","399.6","392.7","406.5"
"Preventable mortality","Male","2007","2","9990.5","275.89999999999998","270.39999999999998","281.39999999999998"
"Preventable mortality","Male","2007","3","8508","207.2","202.7","211.6"
"Preventable mortality","Male","2007","4","7323","168.8","164.9","172.7"
"Preventable mortality","Male","2007","5","5991.5","140.5","136.9","144.1"
"Preventable mortality","Male","2008","1","13638","402","395.1","408.9"
"Preventable mortality","Male","2008","2","10083","272.39999999999998","266.89999999999998","277.8"
"Preventable mortality","Male","2008","3","8551","204.3","200","208.7"
"Preventable mortality","Male","2008","4","7337.5","165.6","161.80000000000001","169.4"
"Preventable mortality","Male","2008","5","5992","137.5","134","141"
"Preventable mortality","Male","2009","1","13118","382.3","375.6","389"
"Preventable mortality","Male","2009","2","9767","260.2","254.9","265.39999999999998"
"Preventable mortality","Male","2009","3","8247","193.7","189.5","197.9"
"Preventable mortality","Male","2009","4","7360.5","163.19999999999999","159.4","166.9"
"Preventable mortality","Male","2009","5","5922.5","133","129.6","136.4"
"Preventable mortality","Male","2010","1","12504","362.2","355.7","368.7"
"Preventable mortality","Male","2010","2","9774","257.8","252.6","263"
"Preventable mortality","Male","2010","3","8360.5","193.4","189.3","197.6"
"Preventable mortality","Male","2010","4","7204","157","153.4","160.69999999999999"
"Preventable mortality","Male","2010","5","5859","129.69999999999999","126.4","133.1"
"Preventable mortality","Male","2011","1","12576.5","359.9","353.4","366.3"
"Preventable mortality","Male","2011","2","9549.5","246","241","251"
"Preventable mortality","Male","2011","3","8062","184.2","180.2","188.2"
"Preventable mortality","Male","2011","4","7171","157","153.4","160.69999999999999"
"Preventable mortality","Male","2011","5","5657.5","123.6","120.3","126.8"
"Preventable mortality","Male","2012","1","12308.5","347.2","340.9","353.5"
"Preventable mortality","Male","2012","2","9413.5","239.6","234.7","244.5"
"Preventable mortality","Male","2012","3","8051.5","180.6","176.6","184.5"
"Preventable mortality","Male","2012","4","6917","148.69999999999999","145.1","152.19999999999999"
"Preventable mortality","Male","2012","5","5527","118.5","115.3","121.6"
"Preventable mortality","Male","2013","1","12451","346.8","340.6","353"
"Preventable mortality","Male","2013","2","9607","239.9","235","244.7"
"Preventable mortality","Male","2013","3","8280","182.3","178.3","186.2"
"Preventable mortality","Male","2013","4","7130","150.6","147","154.1"
"Preventable mortality","Male","2013","5","5754.5","121.3","118.1","124.4"
"Preventable mortality","Male","2014","1","12739","348.7","342.5","354.9"
"Preventable mortality","Male","2014","2","9780","238.9","234.1","243.7"
"Preventable mortality","Male","2014","3","8234.5","177.6","173.8","181.5"
"Preventable mortality","Male","2014","4","7065.5","146.69999999999999","143.30000000000001","150.1"
"Preventable mortality","Male","2014","5","5604.5","115.7","112.6","118.7"
"Preventable mortality","Male","2015","1","12909","347.7","341.5","353.8"
"Preventable mortality","Male","2015","2","9979","238.8","234","243.5"
"Preventable mortality","Male","2015","3","8210","174.4","170.7","178.2"
"Preventable mortality","Male","2015","4","6924","140.9","137.5","144.19999999999999"
"Preventable mortality","Male","2015","5","5686","115.6","112.6","118.6"
"Preventable mortality","Male","2016","1","13238","344.9","338.9","350.9"
"Preventable mortality","Male","2016","2","10020","233.4","228.8","238"
"Preventable mortality","Male","2016","3","8360","174.4","170.7","178.2"
"Preventable mortality","Male","2016","4","7106","142.19999999999999","138.9","145.5"
"Preventable mortality","Male","2016","5","5580","111.5","108.5","114.4"
"Preventable mortality","Male","2017","1","13304","339.5","333.6","345.3"
"Preventable mortality","Male","2017","2","10012","228.4","223.9","232.9"
"Preventable mortality","Male","2017","3","8295.5","169.7","166","173.3"
"Preventable mortality","Male","2017","4","7150.5","140.4","137.1","143.6"
"Preventable mortality","Male","2017","5","5573","109","106.2","111.9"
"Preventable mortality","Male","2018","1","13655.5","342.3","336.5","348.1"
"Preventable mortality","Male","2018","2","10060","225.6","221.1","230"
"Preventable mortality","Male","2018","3","8647","174.2","170.5","177.9"
"Preventable mortality","Male","2018","4","7141","138.4","135.19999999999999","141.69999999999999"
"Preventable mortality","Male","2018","5","5716","111.3","108.4","114.2"
"Preventable mortality","Male","2019","1","13349","329.5","323.8","335.2"
"Preventable mortality","Male","2019","2","10105.5","223.4","219","227.7"
"Preventable mortality","Male","2019","3","8320","166.2","162.6","169.8"
"Preventable mortality","Male","2019","4","7034.5","135.69999999999999","132.5","138.9"
"Preventable mortality","Male","2019","5","5685.5","110","107.1","112.9"
"Preventable mortality","Male","2020","1","17275.5","425.6","419.2","432"
"Preventable mortality","Male","2020","2","12991.5","285.89999999999998","280.89999999999998","290.8"
"Preventable mortality","Male","2020","3","10421","206.8","202.8","210.7"
"Preventable mortality","Male","2020","4","8702.5","166.7","163.19999999999999","170.2"
"Preventable mortality","Male","2020","5","6897.5","132.19999999999999","129","135.30000000000001"
"Preventable mortality","Male","2020 (excluding COVID-19)","1","13827.5","336.8","331.1","342.4"
"Preventable mortality","Male","2020 (excluding COVID-19)","2","10290.5","224.8","220.4","229.2"
"Preventable mortality","Male","2020 (excluding COVID-19)","3","8423","167.1","163.5","170.7"
"Preventable mortality","Male","2020 (excluding COVID-19)","4","6992.5","134.5","131.30000000000001","137.6"
"Preventable mortality","Male","2020 (excluding COVID-19)","5","5528.5","106.6","103.8","109.4"
"Preventable mortality","Female","2001","1","7777.5","219.6","214.7","224.6"
"Preventable mortality","Female","2001","2","5590","149.30000000000001","145.30000000000001","153.19999999999999"
"Preventable mortality","Female","2001","3","4786.5","118.2","114.8","121.5"
"Preventable mortality","Female","2001","4","3959.5","94","91","96.9"
"Preventable mortality","Female","2001","5","3246","77.900000000000006","75.2","80.599999999999994"
"Preventable mortality","Female","2002","1","7524","214.8","209.9","219.7"
"Preventable mortality","Female","2002","2","5390","144","140.19999999999999","147.9"
"Preventable mortality","Female","2002","3","4702","115.4","112.1","118.7"
"Preventable mortality","Female","2002","4","3950.5","92.4","89.5","95.3"
"Preventable mortality","Female","2002","5","3245.5","76.7","74.099999999999994","79.400000000000006"
"Preventable mortality","Female","2003","1","7544","216.4","211.5","221.4"
"Preventable mortality","Female","2003","2","5418.5","144.6","140.80000000000001","148.5"
"Preventable mortality","Female","2003","3","4695","113.9","110.7","117.2"
"Preventable mortality","Female","2003","4","3955","91.3","88.4","94.1"
"Preventable mortality","Female","2003","5","3234.5","75.099999999999994","72.5","77.7"
"Preventable mortality","Female","2004","1","7082","205.3","200.5","210.1"
"Preventable mortality","Female","2004","2","5335.5","141.69999999999999","137.80000000000001","145.5"
"Preventable mortality","Female","2004","3","4430.5","106.1","103","109.3"
"Preventable mortality","Female","2004","4","3850","88","85.2","90.8"
"Preventable mortality","Female","2004","5","3055.5","70","67.5","72.5"
"Preventable mortality","Female","2005","1","6809","198.4","193.7","203.2"
"Preventable mortality","Female","2005","2","5270.5","139.9","136.1","143.69999999999999"
"Preventable mortality","Female","2005","3","4450.5","105.9","102.8","109"
"Preventable mortality","Female","2005","4","3769.5","85.2","82.4","87.9"
"Preventable mortality","Female","2005","5","3071","69.3","66.900000000000006","71.8"
"Preventable mortality","Female","2006","1","6729.5","197.3","192.5","202.1"
"Preventable mortality","Female","2006","2","5102","135.4","131.69999999999999","139.19999999999999"
"Preventable mortality","Female","2006","3","4451.5","105.3","102.2","108.4"
"Preventable mortality","Female","2006","4","3771","84.4","81.7","87.1"
"Preventable mortality","Female","2006","5","3084.5","68.8","66.400000000000006","71.3"
"Preventable mortality","Female","2007","1","6884","200.8","196","205.6"
"Preventable mortality","Female","2007","2","5009","132.30000000000001","128.6","136"
"Preventable mortality","Female","2007","3","4339.5","100.7","97.7","103.7"
"Preventable mortality","Female","2007","4","3819","83.5","80.900000000000006","86.2"
"Preventable mortality","Female","2007","5","2940","65.400000000000006","63.1","67.8"
"Preventable mortality","Female","2008","1","6975.5","201.7","196.9","206.5"
"Preventable mortality","Female","2008","2","5199","134.9","131.19999999999999","138.6"
"Preventable mortality","Female","2008","3","4342.5","99","96.1","102"
"Preventable mortality","Female","2008","4","3801","81.8","79.2","84.4"
"Preventable mortality","Female","2008","5","3076.5","66.8","64.400000000000006","69.099999999999994"
"Preventable mortality","Female","2009","1","6523.5","186.7","182.1","191.2"
"Preventable mortality","Female","2009","2","5057","130","126.4","133.6"
"Preventable mortality","Female","2009","3","4199.5","94.4","91.5","97.2"
"Preventable mortality","Female","2009","4","3723","78.099999999999994","75.599999999999994","80.599999999999994"
"Preventable mortality","Female","2009","5","2925","62.1","59.8","64.400000000000006"
"Preventable mortality","Female","2010","1","6567.5","187.5","182.9","192.1"
"Preventable mortality","Female","2010","2","5069","128.9","125.4","132.5"
"Preventable mortality","Female","2010","3","4272","94.3","91.4","97.1"
"Preventable mortality","Female","2010","4","3741","77.5","75","80"
"Preventable mortality","Female","2010","5","3021","63.2","61","65.5"
"Preventable mortality","Female","2011","1","6592.5","184.1","179.6","188.7"
"Preventable mortality","Female","2011","2","5174","129.19999999999999","125.6","132.69999999999999"
"Preventable mortality","Female","2011","3","4207","92.2","89.4","94.9"
"Preventable mortality","Female","2011","4","3652.5","75.900000000000006","73.5","78.400000000000006"
"Preventable mortality","Female","2011","5","2964.5","60.8","58.6","63"
"Preventable mortality","Female","2012","1","6586","183.7","179.2","188.2"
"Preventable mortality","Female","2012","2","4884","120.1","116.7","123.5"
"Preventable mortality","Female","2012","3","4330","92.9","90.2","95.7"
"Preventable mortality","Female","2012","4","3671.5","74.900000000000006","72.400000000000006","77.3"
"Preventable mortality","Female","2012","5","2924.5","58.5","56.4","60.7"
"Preventable mortality","Female","2013","1","6605","181.3","176.9","185.8"
"Preventable mortality","Female","2013","2","5088","123.2","119.8","126.6"
"Preventable mortality","Female","2013","3","4356","91.6","88.9","94.4"
"Preventable mortality","Female","2013","4","3627.5","72.3","69.900000000000006","74.599999999999994"
"Preventable mortality","Female","2013","5","3030.5","59.8","57.7","62"
"Preventable mortality","Female","2014","1","6863","185.6","181.1","190"
"Preventable mortality","Female","2014","2","5221","123.9","120.5","127.3"
"Preventable mortality","Female","2014","3","4330.5","89.3","86.7","92"
"Preventable mortality","Female","2014","4","3836","75","72.7","77.400000000000006"
"Preventable mortality","Female","2014","5","3058","59.1","57","61.2"
"Preventable mortality","Female","2015","1","7138.5","190.2","185.8","194.7"
"Preventable mortality","Female","2015","2","5199","121.2","117.9","124.6"
"Preventable mortality","Female","2015","3","4601","93.3","90.6","96"
"Preventable mortality","Female","2015","4","3830.5","73.7","71.3","76"
"Preventable mortality","Female","2015","5","2995","56.7","54.7","58.7"
"Preventable mortality","Female","2016","1","7304.5","188.5","184.1","192.9"
"Preventable mortality","Female","2016","2","5458","123.5","120.2","126.8"
"Preventable mortality","Female","2016","3","4416","88.1","85.5","90.7"
"Preventable mortality","Female","2016","4","4006","75.7","73.3","78"
"Preventable mortality","Female","2016","5","2988","55.7","53.7","57.7"
"Preventable mortality","Female","2017","1","7301","185.1","180.8","189.4"
"Preventable mortality","Female","2017","2","5382.5","119","115.8","122.2"
"Preventable mortality","Female","2017","3","4488.5","87.5","85","90.1"
"Preventable mortality","Female","2017","4","3798","70.099999999999994","67.8","72.3"
"Preventable mortality","Female","2017","5","3062","55.7","53.8","57.7"
"Preventable mortality","Female","2018","1","7447","185.2","181","189.5"
"Preventable mortality","Female","2018","2","5528","120.4","117.2","123.6"
"Preventable mortality","Female","2018","3","4540","87.3","84.8","89.9"
"Preventable mortality","Female","2018","4","3878","70.599999999999994","68.400000000000006","72.8"
"Preventable mortality","Female","2018","5","3116","56.1","54.1","58"
"Preventable mortality","Female","2019","1","7643","187.2","183","191.5"
"Preventable mortality","Female","2019","2","5476","117.4","114.2","120.5"
"Preventable mortality","Female","2019","3","4586","87.1","84.6","89.7"
"Preventable mortality","Female","2019","4","3784.5","68.5","66.3","70.7"
"Preventable mortality","Female","2019","5","2977","53.3","51.3","55.2"
"Preventable mortality","Female","2020","1","9559.5","231.4","226.7","236.1"
"Preventable mortality","Female","2020","2","6823.5","144.69999999999999","141.19999999999999","148.1"
"Preventable mortality","Female","2020","3","5632.5","105.9","103.1","108.7"
"Preventable mortality","Female","2020","4","4779","85.9","83.4","88.3"
"Preventable mortality","Female","2020","5","3586","63.3","61.3","65.400000000000006"
"Preventable mortality","Female","2020 (excluding COVID-19)","1","7575.5","182.3","178.2","186.4"
"Preventable mortality","Female","2020 (excluding COVID-19)","2","5385.5","114","110.9","117"
"Preventable mortality","Female","2020 (excluding COVID-19)","3","4534.5","85.4","82.9","87.9"
"Preventable mortality","Female","2020 (excluding COVID-19)","4","3902","70.400000000000006","68.099999999999994","72.599999999999994"
"Preventable mortality","Female","2020 (excluding COVID-19)","5","2952","52.3","50.4","54.2"
