"Measure","Sex","Year","Decile","Rate","Lower CI","Upper CI","Deaths"
"Treatable mortality","Male","2020","3","129.30000000000001","110.1","148.5","174.5"
"Treatable mortality","Male","2020","4","116.9","99.1","134.69999999999999","166"
"Treatable mortality","Male","2020","5","117.7","100.1","135.19999999999999","174"
"Treatable mortality","Male","2020","6","97.2","81.900000000000006","112.4","158.5"
"Treatable mortality","Male","2020","7","75.7","62.6","88.9","129"
"Treatable mortality","Male","2020","8","78.099999999999994","64.3","91.9","125.5"
"Treatable mortality","Male","2020","9","62.8","50.9","76.5","99"
"Treatable mortality","Male","2020","10","64.8","52.5","79","99"
"Preventable mortality","Male","2001","1","463.4","421.4","505.5","475"
"Preventable mortality","Male","2001","2","392.7","355.2","430.1","426.5"
"Preventable mortality","Male","2001","3","382.3","345.3","419.4","414"
"Preventable mortality","Male","2001","4","366.3","330.1","402.4","399"
"Preventable mortality","Male","2001","5","331.8","297.89999999999998","365.7","370"
"Preventable mortality","Male","2001","6","270.7","241.6","299.7","336.5"
"Preventable mortality","Male","2001","7","235","208","262","292.5"
"Preventable mortality","Male","2001","8","256","227.4","284.7","308.5"
"Preventable mortality","Male","2001","9","204.4","178.8","230","247"
"Preventable mortality","Male","2001","10","172.4","148.4","196.5","199.5"
"Preventable mortality","Male","2002","1","500.1","456.5","543.6","514"
"Preventable mortality","Male","2002","2","423.8","384.9","462.7","461"
"Preventable mortality","Male","2002","3","388","350.8","425.2","423"
"Preventable mortality","Male","2002","4","338.9","304.5","373.3","377"
"Preventable mortality","Male","2002","5","307","274.5","339.6","343.5"
"Preventable mortality","Male","2002","6","256.7","228.6","284.8","323"
"Preventable mortality","Male","2002","7","241.2","213.9","268.5","302.5"
"Preventable mortality","Male","2002","8","200.3","175.2","225.4","247"
"Preventable mortality","Male","2002","9","205","179.5","230.4","252.5"
"Preventable mortality","Male","2002","10","171.2","147.30000000000001","195","199"
"Preventable mortality","Male","2003","1","484.5","441.5","527.5","495"
"Preventable mortality","Male","2003","2","422.6","383.8","461.4","462"
"Preventable mortality","Male","2003","3","371.8","335.9","407.7","416"
"Preventable mortality","Male","2003","4","341","306.7","375.4","384.5"
"Preventable mortality","Male","2003","5","287","256","318","331"
"Preventable mortality","Male","2003","6","254","226.5","281.60000000000002","329.5"
"Preventable mortality","Male","2003","7","229.5","203.2","255.8","294"
"Preventable mortality","Male","2003","8","226.9","200.2","253.6","281"
"Preventable mortality","Male","2003","9","198.7","173.7","223.7","246.5"
"Preventable mortality","Male","2003","10","154.5","132","177","183"
"Preventable mortality","Male","2004","1","412.9","373.5","452.3","428"
"Preventable mortality","Male","2004","2","365.1","329.2","400.9","403"
"Preventable mortality","Male","2004","3","321","287.7","354.4","360"
"Preventable mortality","Male","2004","4","326.8","293.7","359.9","379.5"
"Preventable mortality","Male","2004","5","277.8","247.5","308.10000000000002","326"
"Preventable mortality","Male","2004","6","234.6","208.3","260.89999999999998","308.5"
"Preventable mortality","Male","2004","7","236.5","210","263","309"
"Preventable mortality","Male","2004","8","205.2","180.1","230.3","259"
"Preventable mortality","Male","2004","9","182.4","158.9","206","233.5"
"Preventable mortality","Male","2004","10","168.2","145","191.5","203.5"
"Preventable mortality","Male","2005","1","440.5","399.7","481.2","458.5"
"Preventable mortality","Male","2005","2","358.4","323.10000000000002","393.8","399"
"Preventable mortality","Male","2005","3","350.5","315.7","385.3","397"
"Preventable mortality","Male","2005","4","318.89999999999998","284.89999999999998","353","343"
"Preventable mortality","Male","2005","5","273.5","244.7","302.3","350"
"Preventable mortality","Male","2005","6","246.8","220.2","273.5","332"
"Preventable mortality","Male","2005","7","194.8","171.1","218.6","262"
"Preventable mortality","Male","2005","8","205.3","180.6","230.1","267.5"
"Preventable mortality","Male","2005","9","163.30000000000001","140.5","186.2","199"
"Preventable mortality","Male","2005","10","164","141.4","186.5","205.5"
"Preventable mortality","Male","2006","1","459.8","418.2","501.5","478"
"Preventable mortality","Male","2006","2","333.2","299.3","367.2","375"
"Preventable mortality","Male","2006","3","352.9","318.3","387.5","408.5"
"Preventable mortality","Male","2006","4","302.89999999999998","270.2","335.7","334.5"
"Preventable mortality","Male","2006","5","261.8","233.7","289.8","337"
"Preventable mortality","Male","2006","6","234.4","208.6","260.3","319"
"Preventable mortality","Male","2006","7","205.7","181.4","230","278"
"Preventable mortality","Male","2006","8","181.9","158.80000000000001","204.9","242.5"
"Preventable mortality","Male","2006","9","162.19999999999999","139.69999999999999","184.7","202.5"
"Preventable mortality","Male","2006","10","149.4","127.8","170.9","186.5"
"Preventable mortality","Male","2007","1","477.8","435.5","520.1","501"
"Preventable mortality","Male","2007","2","367.2","331.9","402.5","420.5"
"Preventable mortality","Male","2007","3","331.5","298.2","364.8","388"
"Preventable mortality","Male","2007","4","301","268.60000000000002","333.4","338"
"Preventable mortality","Male","2007","5","257.2","229.8","284.7","341"
"Preventable mortality","Male","2007","6","237","211.2","262.8","326"
"Preventable mortality","Male","2007","7","187","164","210","258"
"Preventable mortality","Male","2007","8","184.2","161.30000000000001","207.1","251"
"Preventable mortality","Male","2007","9","160.69999999999999","138.69999999999999","182.7","207.5"
"Preventable mortality","Male","2007","10","156.5","134.69999999999999","178.3","199.5"
"Preventable mortality","Male","2008","1","411.5","372.2","450.9","431"
"Preventable mortality","Male","2008","2","360.8","325.7","395.8","413.5"
"Preventable mortality","Male","2008","3","342.3","309","375.7","410.5"
"Preventable mortality","Male","2008","4","303.2","271","335.4","346"
"Preventable mortality","Male","2008","5","236.3","210.1","262.39999999999998","316"
"Preventable mortality","Male","2008","6","228.2","202.8","253.7","312.5"
"Preventable mortality","Male","2008","7","187.9","165.2","210.7","266"
"Preventable mortality","Male","2008","8","194.8","171.4","218.2","268.5"
"Preventable mortality","Male","2008","9","176.6","153.9","199.4","235.5"
"Preventable mortality","Male","2008","10","144.9","124","165.8","186.5"
"Preventable mortality","Male","2009","1","435.2","395","475.5","461"
"Preventable mortality","Male","2009","2","384.6","348.7","420.5","447"
"Preventable mortality","Male","2009","3","322.39999999999998","290.2","354.5","389.5"
"Preventable mortality","Male","2009","4","294.39999999999998","263.3","325.60000000000002","350"
"Preventable mortality","Male","2009","5","239.7","213.5","265.8","325.5"
"Preventable mortality","Male","2009","6","217.6","193.2","242","309"
"Preventable mortality","Male","2009","7","178.4","156.5","200.4","256"
"Preventable mortality","Male","2009","8","167.7","146.30000000000001","189","239"
"Preventable mortality","Male","2009","9","172.5","150.19999999999999","194.8","232"
"Preventable mortality","Male","2009","10","142.30000000000001","121.7","163","185.5"
"Preventable mortality","Male","2010","1","440.3","399.9","480.6","469.5"
"Preventable mortality","Male","2010","2","341.3","307.7","374.9","402"
"Preventable mortality","Male","2010","3","291.3","261","321.60000000000002","359"
"Preventable mortality","Male","2010","4","269.2","239.6","298.89999999999998","321.5"
"Preventable mortality","Male","2010","5","215.3","190.5","240","293.5"
"Preventable mortality","Male","2010","6","216.7","192.4","241","307.5"
"Preventable mortality","Male","2010","7","169","147.80000000000001","190.1","248"
"Preventable mortality","Male","2010","8","171.3","149.69999999999999","193","243"
"Preventable mortality","Male","2010","9","155.6","134.69999999999999","176.4","215.5"
"Preventable mortality","Male","2010","10","124.8","105.5","144.1","163"
"Preventable mortality","Male","2011","1","405.1","366.6","443.7","435.5"
"Preventable mortality","Male","2011","2","336.6","302.8","370.3","388.5"
"Preventable mortality","Male","2011","3","314","282.7","345.3","390.5"
"Preventable mortality","Male","2011","4","262.39999999999998","234.3","290.39999999999998","339.5"
"Preventable mortality","Male","2011","5","240.3","214","266.60000000000002","324.5"
"Preventable mortality","Male","2011","6","229.1","204.3","253.9","330.5"
"Preventable mortality","Male","2011","7","184.9","162.4","207.4","262"
"Preventable mortality","Male","2011","8","157.19999999999999","136.6","177.9","224"
"Preventable mortality","Male","2011","9","151.30000000000001","131.1","171.4","219.5"
"Preventable mortality","Male","2011","10","114.1","95.8","132.30000000000001","152.5"
"Preventable mortality","Male","2012","1","380.5","343.3","417.6","411.5"
"Preventable mortality","Male","2012","2","320.7","287.89999999999998","353.5","372.5"
"Preventable mortality","Male","2012","3","272.7","243.7","301.7","343"
"Preventable mortality","Male","2012","4","260.3","232.6","288","343"
"Preventable mortality","Male","2012","5","213","188.4","237.7","289.5"
"Preventable mortality","Male","2012","6","196.7","173.8","219.5","288.5"
"Preventable mortality","Male","2012","7","194.8","171.7","217.9","277.5"
"Preventable mortality","Male","2012","8","158.5","137.9","179.1","230.5"
"Preventable mortality","Male","2012","9","163","142.19999999999999","183.8","239"
"Preventable mortality","Male","2012","10","115.7","97.4","134","156.5"
"Preventable mortality","Male","2013","1","395.5","357.5","433.5","426.5"
"Preventable mortality","Male","2013","2","319.89999999999998","287.3","352.4","375.5"
"Preventable mortality","Male","2013","3","275","246.1","304","350"
"Preventable mortality","Male","2013","4","275.2","247","303.39999999999998","369"
"Preventable mortality","Male","2013","5","219.4","194.6","244.1","305"
"Preventable mortality","Male","2013","6","204.3","181.2","227.4","303.5"
"Preventable mortality","Male","2013","7","180.1","158.19999999999999","202","263.5"
"Preventable mortality","Male","2013","8","158.6","138.1","179.1","233"
"Preventable mortality","Male","2013","9","174.7","153.30000000000001","196.1","260"
"Preventable mortality","Male","2013","10","138.1","118.4","157.9","191"
"Preventable mortality","Male","2014","1","402.3","363.7","440.9","427.5"
"Preventable mortality","Male","2014","2","320.10000000000002","287.8","352.4","381.5"
"Preventable mortality","Male","2014","3","255.2","227.4","283.10000000000002","325.5"
"Preventable mortality","Male","2014","4","258.5","231.4","285.60000000000002","351.5"
"Preventable mortality","Male","2014","5","220","195.3","244.6","308"
"Preventable mortality","Male","2014","6","179","157.69999999999999","200.4","273.5"
"Preventable mortality","Male","2014","7","170.9","149.80000000000001","192","256.5"
"Preventable mortality","Male","2014","8","156","135.9","176.1","233"
"Preventable mortality","Male","2014","9","141.19999999999999","122.3","160.1","217"
"Preventable mortality","Male","2014","10","109","91.5","126.5","151"
"Preventable mortality","Male","2015","1","399.8","361.6","438.1","431"
"Preventable mortality","Male","2015","2","319.8","287.8","351.9","388"
"Preventable mortality","Male","2015","3","269.89999999999998","241.6","298.3","350"
"Preventable mortality","Male","2015","4","248.2","221.5","274.89999999999998","335"
"Preventable mortality","Male","2015","5","256.3","229.4","283.3","351.5"
"Preventable mortality","Male","2015","6","194.5","172.3","216.7","299"
"Preventable mortality","Male","2015","7","169.3","148.80000000000001","189.7","266.5"
"Preventable mortality","Male","2015","8","165.2","144.5","185.9","248.5"
"Preventable mortality","Male","2015","9","144.6","125.3","164","217"
"Preventable mortality","Male","2015","10","119.9","101.9","137.9","172.5"
"Preventable mortality","Male","2016","1","404.1","366.1","442.1","445"
"Preventable mortality","Male","2016","2","344.1","311.2","377","426"
"Preventable mortality","Male","2016","3","298","268.2","327.7","387.5"
"Preventable mortality","Male","2016","4","269.5","241.8","297.2","366.5"
"Preventable mortality","Male","2016","5","214","189.6","238.5","299.5"
"Preventable mortality","Male","2016","6","205.5","182.7","228.3","316.5"
"Preventable mortality","Male","2016","7","194.2","172.2","216.2","303.5"
"Preventable mortality","Male","2016","8","178.3","157","199.5","275"
"Preventable mortality","Male","2016","9","154.1","134.19999999999999","173.9","234"
"Preventable mortality","Male","2016","10","120.9","102.9","138.9","176.5"
"Preventable mortality","Male","2017","1","411.3","373","449.6","451.5"
"Preventable mortality","Male","2017","2","354.5","321.3","387.6","442.5"
"Preventable mortality","Male","2017","3","269.89999999999998","241.8","297.89999999999998","357"
"Preventable mortality","Male","2017","4","241.3","215.3","267.2","332.5"
"Preventable mortality","Male","2017","5","224.3","199.5","249","318.5"
"Preventable mortality","Male","2017","6","206.1","183.7","228.6","328"
"Preventable mortality","Male","2017","7","181.6","160.6","202.7","291"
"Preventable mortality","Male","2017","8","170.4","149.69999999999999","191","266.5"
"Preventable mortality","Male","2017","9","141.9","123.1","160.69999999999999","222"
"Preventable mortality","Male","2017","10","100.7","84.5","116.8","151.5"
"Preventable mortality","Male","2018","1","427.4","388.9","465.9","481"
"Preventable mortality","Male","2018","2","330.8","299","362.6","419"
"Preventable mortality","Male","2018","3","292.89999999999998","263.60000000000002","322.10000000000002","387.5"
"Preventable mortality","Male","2018","4","223.5","198.7","248.3","313.5"
"Preventable mortality","Male","2018","5","206.3","182.6","230.1","294.5"
"Preventable mortality","Male","2018","6","188.2","166.7","209.6","300.5"
"Preventable mortality","Male","2018","7","182","161","202.9","296"
"Preventable mortality","Male","2018","8","170.4","149.6","191.2","264"
"Preventable mortality","Male","2018","9","136.1","117.7","154.5","213.5"
"Preventable mortality","Male","2018","10","117.8","100.3","135.19999999999999","178"
"Preventable mortality","Male","2019","1","372.5","336.9","408.1","426"
"Preventable mortality","Male","2019","2","346","313.60000000000002","378.3","441"
"Preventable mortality","Male","2019","3","279.39999999999998","251","307.8","373"
"Preventable mortality","Male","2019","4","246.7","220.6","272.7","346.5"
"Preventable mortality","Male","2019","5","209.6","186","233.1","308.5"
"Preventable mortality","Male","2019","6","183.5","162.4","204.6","295.5"
"Preventable mortality","Male","2019","7","171.4","151","191.7","279"
"Preventable mortality","Male","2019","8","159.19999999999999","139.5","179","254.5"
"Preventable mortality","Male","2019","9","138.30000000000001","120","156.69999999999999","222"
"Preventable mortality","Male","2019","10","116.5","99.1","133.80000000000001","175.5"
"Preventable mortality","Male","2020","1","456.9","417.4","496.4","519.5"
"Preventable mortality","Male","2020","2","382.7","348.8","416.7","490"
"Preventable mortality","Male","2020","3","345.5","314.10000000000002","376.8","467.5"
"Preventable mortality","Male","2020","4","277.5","250","305.10000000000002","392"
"Preventable mortality","Male","2020","5","239","213.7","264.3","348"
"Preventable mortality","Male","2020","6","207.1","184.6","229.5","332.5"
"Preventable mortality","Male","2020","7","184.1","163.1","205","305"
"Preventable mortality","Male","2020","8","186.6","165.4","207.7","303.5"
"Preventable mortality","Male","2020","9","151.1","131.9","170.3","241"
"Preventable mortality","Male","2020","10","132.80000000000001","114.3","151.19999999999999","203"
"Preventable mortality","Male","2020 (excluding COVID-19)","1","359.5","324.60000000000002","394.4","412.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","2","296.39999999999998","266.60000000000002","326.3","381"
"Preventable mortality","Male","2020 (excluding COVID-19)","3","271.2","243.4","299","366.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","4","223.5","198.7","248.2","315"
"Preventable mortality","Male","2020 (excluding COVID-19)","5","200.7","177.4","224","290"
"Preventable mortality","Male","2020 (excluding COVID-19)","6","180.4","159.30000000000001","201.4","287.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","7","159.1","139.5","178.7","260"
"Preventable mortality","Male","2020 (excluding COVID-19)","8","151","131.9","170.2","242.5"
"Preventable mortality","Male","2020 (excluding COVID-19)","9","118.5","101.4","135.5","188"
"Preventable mortality","Male","2020 (excluding COVID-19)","10","100","83.9","116.2","151"
"Avoidable mortality","Female","2001","1","422.9","384.7","461.1","474"
"Avoidable mortality","Female","2001","2","378.4","343.5","413.3","454"
"Avoidable mortality","Female","2001","3","357.4","323.60000000000002","391.2","431"
"Avoidable mortality","Female","2001","4","320","287.7","352.3","378"
"Avoidable mortality","Female","2001","5","315.8","284.3","347.4","386"
"Avoidable mortality","Female","2001","6","237.7","211.5","263.89999999999998","316"
"Avoidable mortality","Female","2001","7","259.39999999999998","232","286.8","345"
"Avoidable mortality","Female","2001","8","241.4","214.6","268.2","312"
"Avoidable mortality","Female","2001","9","181.8","158.5","205.1","234"
"Avoidable mortality","Female","2001","10","169.3","146.5","192.1","213"
"Avoidable mortality","Female","2002","1","428.1","389.3","466.8","472"
"Avoidable mortality","Female","2002","2","373.2","338.4","408.1","442"
"Avoidable mortality","Female","2002","3","335.2","302.2","368.2","398"
"Avoidable mortality","Female","2002","4","315.39999999999998","283.39999999999998","347.4","375"
"Avoidable mortality","Female","2002","5","312.39999999999998","281.10000000000002","343.7","384"
"Avoidable mortality","Female","2002","6","211.3","186.7","236","283"
"Avoidable mortality","Female","2002","7","233.7","208","259.5","317"
"Avoidable mortality","Female","2002","8","194.2","170.2","218.2","253"
"Avoidable mortality","Female","2002","9","189.1","165.6","212.6","250"
"Avoidable mortality","Female","2002","10","173.4","150.6","196.3","222"
"Avoidable mortality","Female","2003","1","436.3","397.4","475.3","485"
"Avoidable mortality","Female","2003","2","366.9","332.4","401.4","437"
"Avoidable mortality","Female","2003","3","320.39999999999998","288.3","352.6","383"
"Avoidable mortality","Female","2003","4","301.60000000000002","270.39999999999998","332.7","361"
"Avoidable mortality","Female","2003","5","279.2","249.7","308.8","344"
"Avoidable mortality","Female","2003","6","232.3","206.7","257.89999999999998","318"
"Avoidable mortality","Female","2003","7","211.6","187.2","235.9","290"
"Avoidable mortality","Female","2003","8","219.6","194.4","244.9","292"
"Avoidable mortality","Female","2003","9","186.6","163.4","209.8","250"
"Avoidable mortality","Female","2003","10","156.19999999999999","134.6","177.8","202"
"Avoidable mortality","Female","2004","1","415.8","377.7","453.9","460"
"Avoidable mortality","Female","2004","2","350.5","316.8","384.3","416"
"Avoidable mortality","Female","2004","3","303","272","334","368"
"Avoidable mortality","Female","2004","4","278.3","248.5","308.10000000000002","336"
"Avoidable mortality","Female","2004","5","252.7","224.8","280.7","315"
"Avoidable mortality","Female","2004","6","181.4","158.80000000000001","204","249"
"Avoidable mortality","Female","2004","7","250","223.7","276.39999999999998","347"
"Avoidable mortality","Female","2004","8","208.9","184.3","233.5","279"
"Avoidable mortality","Female","2004","9","170.3","148.30000000000001","192.2","232"
"Avoidable mortality","Female","2004","10","141.5","121.1","161.9","186"
"Avoidable mortality","Female","2005","1","444.4","405.2","483.6","497"
"Avoidable mortality","Female","2005","2","325.39999999999998","293.10000000000002","357.8","390"
"Avoidable mortality","Female","2005","3","292.2","261.60000000000002","322.89999999999998","351"
"Avoidable mortality","Female","2005","4","307.8","275.3","340.2","347"
"Avoidable mortality","Female","2005","5","234.8","208.9","260.8","315"
"Avoidable mortality","Female","2005","6","213.1","188.9","237.4","299"
"Avoidable mortality","Female","2005","7","196.3","172.9","219.6","274"
"Avoidable mortality","Female","2005","8","189.6","166.5","212.7","260"
"Avoidable mortality","Female","2005","9","164.1","141.9","186.3","212"
"Avoidable mortality","Female","2005","10","150","129.30000000000001","170.6","204"
"Avoidable mortality","Female","2006","1","395.8","358.8","432.9","441"
"Avoidable mortality","Female","2006","2","328.2","295.7","360.7","393"
"Avoidable mortality","Female","2006","3","297.5","266.60000000000002","328.3","359"
"Avoidable mortality","Female","2006","4","270","239.9","300","312"
"Avoidable mortality","Female","2006","5","231.9","206.2","257.60000000000002","315"
"Avoidable mortality","Female","2006","6","207.4","183.8","231","298"
"Avoidable mortality","Female","2006","7","198.3","174.9","221.8","278"
"Avoidable mortality","Female","2006","8","161.1","139.9","182.3","223"
"Avoidable mortality","Female","2006","9","182.6","159.5","205.6","243"
"Avoidable mortality","Female","2006","10","142.69999999999999","122.7","162.69999999999999","196"
"Avoidable mortality","Female","2007","1","381.2","344.9","417.6","427"
"Avoidable mortality","Female","2007","2","334.6","302","367.3","405"
"Avoidable mortality","Female","2007","3","309.8","278.39999999999998","341.3","376"
"Avoidable mortality","Female","2007","4","270.2","240.2","300.2","312"
"Avoidable mortality","Female","2007","5","248.8","222.5","275.2","344"
"Avoidable mortality","Female","2007","6","204.5","181","227.9","293"
"Avoidable mortality","Female","2007","7","192.9","170","215.8","274"
"Avoidable mortality","Female","2007","8","166.2","144.80000000000001","187.6","234"
"Avoidable mortality","Female","2007","9","179.2","156.6","201.8","244"
"Avoidable mortality","Female","2007","10","150","129.6","170.4","208"
"Avoidable mortality","Female","2008","1","393.1","355.7","430.5","430"
"Avoidable mortality","Female","2008","2","353.1","319.39999999999998","386.8","424"
"Avoidable mortality","Female","2008","3","301.39999999999998","271.10000000000002","331.8","380"
"Avoidable mortality","Female","2008","4","262.89999999999998","233.9","291.89999999999998","317"
"Avoidable mortality","Female","2008","5","223.9","199","248.9","311"
"Avoidable mortality","Female","2008","6","211.7","187.8","235.6","303"
"Avoidable mortality","Female","2008","7","207.5","184.2","230.9","306"
"Avoidable mortality","Female","2008","8","193.1","170.5","215.8","281"
"Avoidable mortality","Female","2008","9","145.5","125.5","165.4","206"
"Avoidable mortality","Female","2008","10","133","113.9","152.1","187"
"Avoidable mortality","Female","2009","1","349.1","313.89999999999998","384.2","384"
"Avoidable mortality","Female","2009","2","296.39999999999998","265.7","327","362"
"Avoidable mortality","Female","2009","3","263","234.7","291.3","333"
"Avoidable mortality","Female","2009","4","269.89999999999998","240.6","299.2","328"
"Avoidable mortality","Female","2009","5","206","182.3","229.7","291"
"Avoidable mortality","Female","2009","6","208.4","184.9","231.9","304"
"Avoidable mortality","Female","2009","7","174.2","153.1","195.4","263"
"Avoidable mortality","Female","2009","8","170","148.9","191.1","250"
"Avoidable mortality","Female","2009","9","161.1","140.19999999999999","182","230"
"Avoidable mortality","Female","2009","10","128.9","110.2","147.6","184"
"Avoidable mortality","Female","2010","1","352.4","317.10000000000002","387.6","388"
"Avoidable mortality","Female","2010","2","314.8","283.3","346.4","385"
"Avoidable mortality","Female","2010","3","274.39999999999998","245.8","303.10000000000002","355"
"Avoidable mortality","Female","2010","4","258","229.5","286.5","317"
"Avoidable mortality","Female","2010","5","206","182.4","229.6","294"
"Avoidable mortality","Female","2010","6","211.6","187.9","235.2","310"
"Avoidable mortality","Female","2010","7","163.30000000000001","142.9","183.8","248"
"Avoidable mortality","Female","2010","8","170.9","149.69999999999999","192.1","252"
"Avoidable mortality","Female","2010","9","140.80000000000001","121.4","160.19999999999999","205"
"Avoidable mortality","Female","2010","10","131.69999999999999","112.9","150.6","189"
"Avoidable mortality","Female","2011","1","371.2","335","407.4","410"
"Avoidable mortality","Female","2011","2","316","284.10000000000002","348","379"
"Avoidable mortality","Female","2011","3","275.3","246.5","304","354"
"Avoidable mortality","Female","2011","4","227.9","202.4","253.4","308"
"Avoidable mortality","Female","2011","5","203.1","179.4","226.8","283"
"Avoidable mortality","Female","2011","6","193","170.7","215.3","290"
"Avoidable mortality","Female","2011","7","172.5","151.4","193.7","258"
"Avoidable mortality","Female","2011","8","145.5","126","165","215"
"Avoidable mortality","Female","2011","9","145.69999999999999","126.3","165","221"
"Avoidable mortality","Female","2011","10","130.5","111.7","149.4","187"
"Avoidable mortality","Female","2012","1","331","297.10000000000002","364.9","371"
"Avoidable mortality","Female","2012","2","309.5","278.10000000000002","340.9","376"
"Avoidable mortality","Female","2012","3","267.5","239.4","295.5","350"
"Avoidable mortality","Female","2012","4","236","210.3","261.7","326"
"Avoidable mortality","Female","2012","5","214.5","190.3","238.6","304"
"Avoidable mortality","Female","2012","6","181","159.69999999999999","202.4","278"
"Avoidable mortality","Female","2012","7","178.8","157.30000000000001","200.2","270"
"Avoidable mortality","Female","2012","8","163.69999999999999","143.30000000000001","184.1","249"
"Avoidable mortality","Female","2012","9","143.69999999999999","124.7","162.69999999999999","223"
"Avoidable mortality","Female","2012","10","109","92","126","160"
"Avoidable mortality","Female","2013","1","312.3","279.5","345","353"
"Avoidable mortality","Female","2013","2","290.60000000000002","260.3","320.89999999999998","356"
"Avoidable mortality","Female","2013","3","234.2","208.1","260.3","310"
"Avoidable mortality","Female","2013","4","225.4","200.5","250.3","317"
"Avoidable mortality","Female","2013","5","210.9","187.1","234.6","304"
"Avoidable mortality","Female","2013","6","184.7","163.30000000000001","206.2","287"
"Avoidable mortality","Female","2013","7","170.4","149.69999999999999","191.1","263"
"Avoidable mortality","Female","2013","8","180.2","158.80000000000001","201.6","276"
"Avoidable mortality","Female","2013","9","139.69999999999999","121.4","158.1","225"
"Avoidable mortality","Female","2013","10","111.1","93.9","128.30000000000001","163"
"Avoidable mortality","Female","2014","1","348.9","314.3","383.5","394"
"Avoidable mortality","Female","2014","2","264.7","235.8","293.60000000000002","325"
"Avoidable mortality","Female","2014","3","243","216.5","269.5","324"
"Avoidable mortality","Female","2014","4","228.3","203.3","253.3","323"
"Avoidable mortality","Female","2014","5","197.1","174.3","220","288"
"Avoidable mortality","Female","2014","6","187.2","165.7","208.7","294"
"Avoidable mortality","Female","2014","7","161.1","141","181.1","250"
"Avoidable mortality","Female","2014","8","164.3","144","184.5","256"
"Avoidable mortality","Female","2014","9","133","115.1","150.9","215"
"Avoidable mortality","Female","2014","10","114.5","97.1","131.9","169"
"Avoidable mortality","Female","2015","1","380.1","343.8","416.3","427"
"Avoidable mortality","Female","2015","2","298.39999999999998","268.2","328.6","377"
"Avoidable mortality","Female","2015","3","280.10000000000002","251.7","308.39999999999998","376"
"Avoidable mortality","Female","2015","4","252.1","225.9","278.39999999999998","356"
"Avoidable mortality","Female","2015","5","208.7","185","232.3","303"
"Avoidable mortality","Female","2015","6","193.8","172.1","215.4","311"
"Avoidable mortality","Female","2015","7","174","153.6","194.5","282"
"Avoidable mortality","Female","2015","8","143.5","125","162","233"
"Avoidable mortality","Female","2015","9","153.30000000000001","133.9","172.6","244"
"Avoidable mortality","Female","2015","10","147.9","128.6","167.2","230"
"Avoidable mortality","Female","2016","1","377.9","341.9","413.8","431"
"Avoidable mortality","Female","2016","2","300.7","270.7","330.8","387"
"Avoidable mortality","Female","2016","3","268.39999999999998","240.9","296","367"
"Avoidable mortality","Female","2016","4","218.7","194.5","243","314"
"Avoidable mortality","Female","2016","5","212.2","188.5","235.9","311"
"Avoidable mortality","Female","2016","6","193.8","172.3","215.3","315"
"Avoidable mortality","Female","2016","7","161.1","141.6","180.5","267"
"Avoidable mortality","Female","2016","8","152.80000000000001","133.69999999999999","172","250"
"Avoidable mortality","Female","2016","9","130.5","112.9","148.19999999999999","213"
"Avoidable mortality","Female","2016","10","121.3","104.2","138.4","196"
"Avoidable mortality","Female","2017","1","352.6","318.10000000000002","387.1","406"
"Avoidable mortality","Female","2017","2","316.5","285.89999999999998","347.2","410"
"Avoidable mortality","Female","2017","3","261.89999999999998","234.8","288.89999999999998","362"
"Avoidable mortality","Female","2017","4","232.4","207.6","257.2","339"
"Avoidable mortality","Female","2017","5","204","181.2","226.8","309"
"Avoidable mortality","Female","2017","6","182.1","161.4","202.8","300"
"Avoidable mortality","Female","2017","7","174.5","154.5","194.6","295"
"Avoidable mortality","Female","2017","8","161.19999999999999","141.69999999999999","180.7","267"
"Avoidable mortality","Female","2017","9","123.9","106.8","141","205"
"Avoidable mortality","Female","2017","10","111.6","95.3","127.9","183"
"Avoidable mortality","Female","2018","1","370.5","335.3","405.7","429"
"Avoidable mortality","Female","2018","2","324.60000000000002","293.8","355.4","427"
"Avoidable mortality","Female","2018","3","283","255","310.89999999999998","396"
"Avoidable mortality","Female","2018","4","236.7","211.9","261.39999999999998","353"
"Avoidable mortality","Female","2018","5","205.4","182.5","228.2","313"
"Avoidable mortality","Female","2018","6","180.4","159.80000000000001","200.9","301"
"Avoidable mortality","Female","2018","7","176","155.9","196.2","300"
"Avoidable mortality","Female","2018","8","149.9","131.19999999999999","168.6","252"
"Avoidable mortality","Female","2018","9","152.9","134.1","171.8","258"
"Avoidable mortality","Female","2018","10","98.4","83","113.9","160"
"Avoidable mortality","Female","2019","1","361.6","327.10000000000002","396","426"
"Avoidable mortality","Female","2019","2","299.2","269.7","328.7","396"
"Avoidable mortality","Female","2019","3","241.9","216.2","267.60000000000002","341"
"Avoidable mortality","Female","2019","4","226.6","202.4","250.9","337"
"Avoidable mortality","Female","2019","5","204.1","181.3","227","312"
"Avoidable mortality","Female","2019","6","184.8","163.80000000000001","205.7","305"
"Avoidable mortality","Female","2019","7","156.69999999999999","137.9","175.5","271"
"Avoidable mortality","Female","2019","8","144.30000000000001","125.9","162.6","242"
"Avoidable mortality","Female","2019","9","133.4","115.9","150.9","229"
"Avoidable mortality","Female","2019","10","113.5","97.3","129.80000000000001","191"
